time,code,price
2021-12-22 09:00:00 +0900 JST,FTHD,3081
2021-12-22 09:00:06 +0900 JST,FTHD,3086
2021-12-22 09:00:10 +0900 JST,FTHD,3099
2021-12-22 09:00:38 +0900 JST,FTHD,3095
2021-12-22 09:01:02 +0900 JST,FTHD,3095
2021-12-22 09:01:13 +0900 JST,FTHD,3099
2021-12-22 09:01:27 +0900 JST,FTHD,3098
2021-12-22 09:01:39 +0900 JST,FTHD,3106
2021-12-22 09:01:56 +0900 JST,FTHD,3109
2021-12-22 09:02:13 +0900 JST,FTHD,3124
2021-12-22 09:02:15 +0900 JST,FTHD,3118
2021-12-22 09:02:17 +0900 JST,FTHD,3110
2021-12-22 09:02:43 +0900 JST,FTHD,3104
2021-12-22 09:02:43 +0900 JST,FTHD,3101
2021-12-22 09:02:46 +0900 JST,FTHD,3106
2021-12-22 09:03:10 +0900 JST,FTHD,3110
2021-12-22 09:03:28 +0900 JST,FTHD,3123
2021-12-22 09:03:38 +0900 JST,FTHD,3110
2021-12-22 09:04:07 +0900 JST,FTHD,3121
2021-12-22 09:04:30 +0900 JST,FTHD,3115
2021-12-22 09:04:58 +0900 JST,FTHD,3113
2021-12-22 09:05:21 +0900 JST,FTHD,3125
2021-12-22 09:05:23 +0900 JST,FTHD,3126
2021-12-22 09:05:36 +0900 JST,FTHD,3112
2021-12-22 09:05:49 +0900 JST,FTHD,3113
2021-12-22 09:05:51 +0900 JST,FTHD,3099
2021-12-22 09:05:55 +0900 JST,FTHD,3111
2021-12-22 09:06:22 +0900 JST,FTHD,3106
2021-12-22 09:06:29 +0900 JST,FTHD,3094
2021-12-22 09:06:30 +0900 JST,FTHD,3107
2021-12-22 09:06:34 +0900 JST,FTHD,3093
2021-12-22 09:06:55 +0900 JST,FTHD,3089
2021-12-22 09:07:00 +0900 JST,FTHD,3088
2021-12-22 09:07:08 +0900 JST,FTHD,3094
2021-12-22 09:07:32 +0900 JST,FTHD,3089
2021-12-22 09:07:49 +0900 JST,FTHD,3096
2021-12-22 09:08:00 +0900 JST,FTHD,3111
2021-12-22 09:08:01 +0900 JST,FTHD,3110
2021-12-22 09:08:10 +0900 JST,FTHD,3096
2021-12-22 09:08:23 +0900 JST,FTHD,3097
2021-12-22 09:08:50 +0900 JST,FTHD,3108
2021-12-22 09:09:13 +0900 JST,FTHD,3120
2021-12-22 09:09:15 +0900 JST,FTHD,3130
2021-12-22 09:09:27 +0900 JST,FTHD,3131
2021-12-22 09:09:52 +0900 JST,FTHD,3145
2021-12-22 09:09:58 +0900 JST,FTHD,3131
2021-12-22 09:10:10 +0900 JST,FTHD,3133
2021-12-22 09:10:26 +0900 JST,FTHD,3146
2021-12-22 09:10:46 +0900 JST,FTHD,3159
2021-12-22 09:11:08 +0900 JST,FTHD,3163
2021-12-22 09:11:24 +0900 JST,FTHD,3150
2021-12-22 09:11:37 +0900 JST,FTHD,3146
2021-12-22 09:11:41 +0900 JST,FTHD,3154
2021-12-22 09:11:45 +0900 JST,FTHD,3140
2021-12-22 09:11:59 +0900 JST,FTHD,3135
2021-12-22 09:12:22 +0900 JST,FTHD,3147
2021-12-22 09:12:27 +0900 JST,FTHD,3139
2021-12-22 09:12:44 +0900 JST,FTHD,3149
2021-12-22 09:12:56 +0900 JST,FTHD,3161
2021-12-22 09:13:17 +0900 JST,FTHD,3167
2021-12-22 09:13:18 +0900 JST,FTHD,3168
2021-12-22 09:13:34 +0900 JST,FTHD,3181
2021-12-22 09:13:57 +0900 JST,FTHD,3177
2021-12-22 09:14:07 +0900 JST,FTHD,3164
2021-12-22 09:14:30 +0900 JST,FTHD,3163
2021-12-22 09:14:38 +0900 JST,FTHD,3169
2021-12-22 09:15:05 +0900 JST,FTHD,3155
2021-12-22 09:15:10 +0900 JST,FTHD,3152
2021-12-22 09:15:10 +0900 JST,FTHD,3145
2021-12-22 09:15:29 +0900 JST,FTHD,3144
2021-12-22 09:15:56 +0900 JST,FTHD,3147
2021-12-22 09:15:58 +0900 JST,FTHD,3149
2021-12-22 09:16:06 +0900 JST,FTHD,3149
2021-12-22 09:16:28 +0900 JST,FTHD,3151
2021-12-22 09:16:39 +0900 JST,FTHD,3140
2021-12-22 09:16:59 +0900 JST,FTHD,3145
2021-12-22 09:17:00 +0900 JST,FTHD,3153
2021-12-22 09:17:19 +0900 JST,FTHD,3139
2021-12-22 09:17:26 +0900 JST,FTHD,3128
2021-12-22 09:17:51 +0900 JST,FTHD,3133
2021-12-22 09:18:16 +0900 JST,FTHD,3147
2021-12-22 09:18:30 +0900 JST,FTHD,3133
2021-12-22 09:18:30 +0900 JST,FTHD,3128
2021-12-22 09:18:56 +0900 JST,FTHD,3127
2021-12-22 09:19:19 +0900 JST,FTHD,3141
2021-12-22 09:19:34 +0900 JST,FTHD,3139
2021-12-22 09:20:03 +0900 JST,FTHD,3136
2021-12-22 09:20:17 +0900 JST,FTHD,3141
2021-12-22 09:20:44 +0900 JST,FTHD,3128
2021-12-22 09:20:47 +0900 JST,FTHD,3129
2021-12-22 09:21:05 +0900 JST,FTHD,3123
2021-12-22 09:21:30 +0900 JST,FTHD,3126
2021-12-22 09:21:51 +0900 JST,FTHD,3129
2021-12-22 09:22:19 +0900 JST,FTHD,3135
2021-12-22 09:22:36 +0900 JST,FTHD,3129
2021-12-22 09:22:42 +0900 JST,FTHD,3135
2021-12-22 09:23:10 +0900 JST,FTHD,3149
2021-12-22 09:23:18 +0900 JST,FTHD,3151
2021-12-22 09:23:44 +0900 JST,FTHD,3154
2021-12-22 09:24:09 +0900 JST,FTHD,3140
2021-12-22 09:24:31 +0900 JST,FTHD,3141
2021-12-22 09:24:58 +0900 JST,FTHD,3140
2021-12-22 09:24:59 +0900 JST,FTHD,3140
2021-12-22 09:25:28 +0900 JST,FTHD,3145
2021-12-22 09:25:45 +0900 JST,FTHD,3156
2021-12-22 09:25:48 +0900 JST,FTHD,3158
2021-12-22 09:25:54 +0900 JST,FTHD,3157
2021-12-22 09:25:54 +0900 JST,FTHD,3162
2021-12-22 09:26:08 +0900 JST,FTHD,3158
2021-12-22 09:26:10 +0900 JST,FTHD,3143
2021-12-22 09:26:22 +0900 JST,FTHD,3158
2021-12-22 09:26:22 +0900 JST,FTHD,3148
